GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ShareIt Server,ru.practicum.shareit.booking,BookingController,6,84,0,0,0,18,1,8,1,8
ShareIt Server,ru.practicum.shareit.booking,BookingState,0,65,0,4,0,11,0,4,0,2
ShareIt Server,ru.practicum.shareit.booking,Status,0,27,0,0,0,5,0,1,0,1
ShareIt Server,ru.practicum.shareit.user.service,UserServiceImpl,0,86,0,4,0,22,0,9,0,7
ShareIt Server,ru.practicum.shareit.request.service,RequstServiceImpl,24,246,3,9,0,61,7,9,4,6
ShareIt Server,ru.practicum.shareit.user,UserController,0,60,0,0,0,15,0,7,0,7
ShareIt Server,ru.practicum.shareit.validation.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
ShareIt Server,ru.practicum.shareit.validation.exception,NoligalArgumentException,0,4,0,0,0,2,0,1,0,1
ShareIt Server,ru.practicum.shareit.validation.exception,ErrorHandler,45,7,0,0,9,2,3,2,3,2
ShareIt Server,ru.practicum.shareit.validation.exception,NotFoundObjectException,0,4,0,0,0,2,0,1,0,1
ShareIt Server,ru.practicum.shareit.request.mapper,RequestMapper,3,77,0,2,1,25,1,4,1,3
ShareIt Server,ru.practicum.shareit.request,ItemRequestController,43,10,0,0,8,4,4,2,4,2
ShareIt Server,ru.practicum.shareit.item.service,ItemServiceImpl,45,535,11,37,8,125,14,23,3,10
ShareIt Server,ru.practicum.shareit.user.mapper,UserMapper,3,24,0,0,1,10,1,2,1,2
ShareIt Server,ru.practicum.shareit.booking.service,BookingServiceImpl,86,380,14,32,7,88,22,22,9,7
ShareIt Server,ru.practicum.shareit.item.mapper,CommentMapper,3,32,0,0,1,13,1,2,1,2
ShareIt Server,ru.practicum.shareit.item.mapper,ItemMapper,3,55,0,2,1,17,1,3,1,2
ShareIt Server,ru.practicum.shareit.item,ItemController,0,75,0,0,0,16,0,8,0,8
ShareIt Server,ru.practicum.shareit.booking.mapper,BookingMapper,3,57,0,0,1,17,1,2,1,2
ShareIt Server,ru.practicum.shareit,ShareItServer,5,3,0,0,2,1,1,1,1,1
